Sl No,Order,Family,Species,English Name,Scientific Name,eBird.English.Name.2025,eBird.Scientific.Name.2025,Authority,Alternative Names,Vagrant,Historical,IUCN RedList,WPA Schedule,SOIB,CITES Appendix,CMS Appendix,Endemic (India),Endemic (Andaman & Nicobar Is),Endemic (Assam Plains),Endemic (Cental Indian Forests),Endemic (Southern Andhra Pradesh),Endemic (Eastern Himalayas),Endemic (Indus Plains),Endemic (Northern Myanmar lowlands),Endemic (Southern Deccan Plateau),Endemic (Western Ghats),Endemic (Western Himalayas)
787,Passeriformes,Acrocephalidae,Blyth's Reed Warbler Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,Blyth's Reed Warbler,Acrocephalus dumetorum,"Blyth, 1849",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
788,Passeriformes,Acrocephalidae,Large-billed Reed Warbler Acrocephalus orinus,Large-billed Reed Warbler,Acrocephalus orinus,Large-billed Reed Warbler,Acrocephalus orinus,"Oberholser, 1905",,,X,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
789,Passeriformes,Acrocephalidae,Great Reed Warbler Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,Great Reed Warbler,Acrocephalus arundinaceus,"(Linnaeus, 1758)",Eurasian Great Reed Warbler,,X,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
790,Passeriformes,Acrocephalidae,Oriental Reed Warbler Acrocephalus orientalis,Oriental Reed Warbler,Acrocephalus orientalis,Oriental Reed Warbler,Acrocephalus orientalis,"(Temminck & Schlegel, 1847)",Eastern Great Reed Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
791,Passeriformes,Acrocephalidae,Clamorous Reed Warbler Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,Clamorous Reed Warbler,Acrocephalus stentoreus,"(Hemprich & Ehrenberg, 1833)",Indian Reed Warbler/Indian Great Reed Warbler A. [s.] brunnescens,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
792,Passeriformes,Locustellidae,Rusty-rumped Warbler Helopsaltes certhiola,Rusty-rumped Warbler,Helopsaltes certhiola,Pallas's Grasshopper Warbler,Helopsaltes certhiola,"(Pallas, 1811)",Pallas's Grasshopper Warbler,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
793,Passeriformes,Locustellidae,Lanceolated Warbler Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata,"(Temminck, 1840)",Streaked Grasshopper Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
794,Passeriformes,Locustellidae,Brown Bush Warbler Locustella luteoventris,Brown Bush Warbler,Locustella luteoventris,Brown Bush Warbler,Locustella luteoventris,"(Hodgson, 1845)",Brown Grasshopper Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
795,Passeriformes,Locustellidae,Grasshopper Warbler Locustella naevia,Grasshopper Warbler,Locustella naevia,Common Grasshopper Warbler,Locustella naevia,"(Boddaert, 1783)",Common Grasshopper Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
796,Passeriformes,Locustellidae,Long-billed Bush Warbler Locustella major,Long-billed Bush Warbler,Locustella major,Long-billed Bush Warbler,Locustella major,"(Brooks, 1871)","Large-billed Bush Warbler, Long-billed Grasshopper Warbler",,,Endangered,Schedule-II,High,,Appendix II,,,,,,,,,,,
797,Passeriformes,Locustellidae,Chinese Bush Warbler Locustella tacsanowskia,Chinese Bush Warbler,Locustella tacsanowskia,Chinese Bush Warbler,Locustella tacsanowskia,"Swinhoe, 1871",Chinese Grasshopper Warbler,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
798,Passeriformes,Locustellidae,Baikal Bush Warbler Locustella davidi,Baikal Bush Warbler,Locustella davidi,Baikal Bush Warbler,Locustella davidi,"(La Touche, 1923)","David's Bush Warbler, Baikal Grasshopper Warbler",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
799,Passeriformes,Locustellidae,West Himalayan Bush Warbler Locustella kashmirensis,West Himalayan Bush Warbler,Locustella kashmirensis,West Himalayan Bush Warbler,Locustella kashmirensis,"(Sushkin, 1925)","Kashmir Bush Warbler, Himalayan Grasshopper Warbler",,,Least Concern,Schedule-I,Moderate,,,,,,,,,,,,,X
800,Passeriformes,Locustellidae,Spotted Bush Warbler Locustella thoracica,Spotted Bush Warbler,Locustella thoracica,Spotted Bush Warbler,Locustella thoracica,"(Blyth, 1845)",Spotted Grasshopper Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
801,Passeriformes,Locustellidae,Russet Bush Warbler Locustella mandelli,Russet Bush Warbler,Locustella mandelli,Russet Bush Warbler,Locustella mandelli,"(Brooks, 1875)",Russet Grasshopper Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
802,Passeriformes,Locustellidae,Broad-tailed Grassbird Schoenicola platyurus,Broad-tailed Grassbird,Schoenicola platyurus,Broad-tailed Grassbird,Schoenicola platyurus,"(Jerdon, 1841)",Broad-tailed Grass Warbler,,,Near Threatened,Schedule-I,High,,,X,,,,,,,,,X,
803,Passeriformes,Locustellidae,Bristled Grassbird Schoenicola striatus,Bristled Grassbird,Schoenicola striatus,Bristled Grassbird,Schoenicola striatus,"(Jerdon, 1841)",Bristled Grass Warbler,,,Vulnerable,Schedule-I,High,,,,,,,,,,,,,
804,Passeriformes,Locustellidae,Striated Grassbird Megalurus palustris,Striated Grassbird,Megalurus palustris,Striated Grassbird,Megalurus palustris,"Horsfield, 1821",Striated Marsh Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
805,Passeriformes,Pnoepygidae,Scaly-breasted Cupwing Pnoepyga albiventer,Scaly-breasted Cupwing,Pnoepyga albiventer,Scaly-breasted Cupwing,Pnoepyga albiventer,"(Hodgson, 1837)",Scaly-breasted Wren-Babbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
806,Passeriformes,Pnoepygidae,Immaculate Cupwing Pnoepyga immaculata,Immaculate Cupwing,Pnoepyga immaculata,Immaculate Cupwing,Pnoepyga immaculata,"Martens & Eck, 1991","Nepal Wren Babbler, Nepal Cupwing",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
807,Passeriformes,Pnoepygidae,Pygmy Cupwing Pnoepyga pusilla,Pygmy Cupwing,Pnoepyga pusilla,Pygmy Cupwing,Pnoepyga pusilla,"Hodgson, 1845","Brown Wren Babbler, Pygmy Wren Babbler",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
808,Passeriformes,Hirundinidae,Grey-throated Martin Riparia chinensis,Grey-throated Martin,Riparia chinensis,Gray-throated Martin,Riparia chinensis,"(Gray, 1830)","Grey-throated Sand Martin, Asian Plain Martin",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
809,Passeriformes,Hirundinidae,Sand Martin Riparia riparia,Sand Martin,Riparia riparia,Bank Swallow,Riparia riparia,"(Linnaeus, 1758)","Collared Sand Martin (with R. diluta); Bank Swallow, Common Sand Martin",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
810,Passeriformes,Hirundinidae,Pale Martin Riparia diluta,Pale Martin,Riparia diluta,Pale Martin,Riparia diluta,"(Sharpe & Wyatt, 1893)",Pale Sand Martin,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
811,Passeriformes,Hirundinidae,Eurasian Crag-Martin Ptyonoprogne rupestris,Eurasian Crag-Martin,Ptyonoprogne rupestris,Eurasian Crag-Martin,Ptyonoprogne rupestris,"(Scopoli, 1769)",Crag Martin,,,Least Concern,Schedule-II,High,,,,,,,,,,,,,
812,Passeriformes,Hirundinidae,Dusky Crag-Martin Ptyonoprogne concolor,Dusky Crag-Martin,Ptyonoprogne concolor,Dusky Crag-Martin,Ptyonoprogne concolor,"(Sykes, 1832)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
813,Passeriformes,Hirundinidae,Hill Swallow Hirundo domicola,Hill Swallow,Hirundo domicola,Hill Swallow,Hirundo domicola,"Jerdon, 1841",,,,Not recognized,Schedule-II,Moderate,,,,,,,,,,,,,
814,Passeriformes,Hirundinidae,Pacific Swallow Hirundo javanica,Pacific Swallow,Hirundo javanica,Pacific Swallow,Hirundo javanica,"Sparrman, 1789",House Swallow (with H. domicola),,,Least Concern,Schedule-II,,,,,,,,,,,,,,
815,Passeriformes,Hirundinidae,Barn Swallow Hirundo rustica,Barn Swallow,Hirundo rustica,Barn Swallow,Hirundo rustica,"Linnaeus, 1758",Common Swallow,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
816,Passeriformes,Hirundinidae,Wire-tailed Swallow Hirundo smithii,Wire-tailed Swallow,Hirundo smithii,Wire-tailed Swallow,Hirundo smithii,"Leach, 1818",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
817,Passeriformes,Hirundinidae,Northern House-Martin Delichon urbicum,Northern House-Martin,Delichon urbicum,Western House-Martin,Delichon urbicum,"(Linnaeus, 1758)","Common House Martin, European House Martin, Western House Martin",,,Least Concern,Schedule-II,,,,,,,,,,,,,,
818,Passeriformes,Hirundinidae,Siberian House-Martin Delichon lagopodum,Siberian House-Martin,Delichon lagopodum,Siberian House-Martin,Delichon lagopodum,"(Pallas, 1811)",Eastern House Martin,X,,Least Concern,Schedule-II,,,,,,,,,,,,,,
819,Passeriformes,Hirundinidae,Asian House-Martin Delichon dasypus,Asian House-Martin,Delichon dasypus,Asian House-Martin,Delichon dasypus,"(Bonaparte, 1850)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
820,Passeriformes,Hirundinidae,Nepal House-Martin Delichon nipalense,Nepal House-Martin,Delichon nipalense,Nepal House-Martin,Delichon nipalense,"Moore, 1854",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
821,Passeriformes,Hirundinidae,European Red-rumped Swallow Cecropis rufula,European Red-rumped Swallow,Cecropis rufula,European Red-rumped Swallow,Cecropis rufula,"(Temminck, 1835)",,,,Not recognized,Schedule-II,,,,,,,,,,,,,,
822,Passeriformes,Hirundinidae,Eastern Red-rumped Swallow Cecropis daurica,Eastern Red-rumped Swallow,Cecropis daurica,Eastern Red-rumped Swallow,Cecropis daurica,"(Laxmann, 1769)",Red-rumped Swallow (with C. rufula), Striated Swallow C. d. striolata,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,
823,Passeriformes,Hirundinidae,Streak-throated Swallow Petrochelidon fluvicola,Streak-throated Swallow,Petrochelidon fluvicola,Streak-throated Swallow,Petrochelidon fluvicola,"(Blyth, 1855)",Indian Cliff Swallow,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
824,Passeriformes,Pycnonotidae,White-throated Bulbul Alophoixus flaveolus,White-throated Bulbul,Alophoixus flaveolus,White-throated Bulbul,Alophoixus flaveolus,"(Gould, 1836)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
825,Passeriformes,Pycnonotidae,Striated Bulbul Alcurus striatus,Striated Bulbul,Alcurus striatus,Striated Bulbul,Alcurus striatus,"(Blyth, 1842)",Striated Green Bulbul,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
826,Passeriformes,Pycnonotidae,Cachar Bulbul Iole cacharensis,Cachar Bulbul,Iole cacharensis,Cachar Bulbul,Iole cacharensis,"(Deignan, 1948)",Indian Olive Bulbul, Olive Bulbul (with I. viridescens EL),,,Not recognized,Schedule-II,Moderate,,,,,,,,,,,,
827,Passeriformes,Pycnonotidae,Grey-eyed Bulbul Iole propinqua,Grey-eyed Bulbul,Iole propinqua,Gray-eyed Bulbul,Iole propinqua,"(Oustalet, 1903)",,,,Least Concern,Recent addition,,,,,,,,,,,,,,
828,Passeriformes,Pycnonotidae,Ashy Bulbul Hemixos flavala,Ashy Bulbul,Hemixos flavala,Ashy Bulbul,Hemixos flavala,"Blyth, 1845",Brown-eared Bulbul,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
829,Passeriformes,Pycnonotidae,Yellow-browed Bulbul Acritillas indica,Yellow-browed Bulbul,Acritillas indica,Yellow-browed Bulbul,Acritillas indica,"(Jerdon, 1839)",,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
830,Passeriformes,Pycnonotidae,Mountain Bulbul Ixos mcclellandii,Mountain Bulbul,Ixos mcclellandii,Mountain Bulbul,Ixos mcclellandii,"(Horsfield, 1840)",Rufous-bellied Bulbul,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
831,Passeriformes,Pycnonotidae,Nicobar Bulbul Hypsipetes nicobariensis,Nicobar Bulbul,Hypsipetes nicobariensis,Nicobar Bulbul,Hypsipetes nicobariensis,"Moore, 1854",,,,Near Threatened,Schedule-II,High,,,X,X,,,,,,,,,
832,Passeriformes,Pycnonotidae,Black Bulbul Hypsipetes leucocephalus,Black Bulbul,Hypsipetes leucocephalus,Black Bulbul,Hypsipetes leucocephalus,"(Gmelin, 1789)",Himalayan Black Bulbul,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
833,Passeriformes,Pycnonotidae,Square-tailed Bulbul Hypsipetes ganeesa,Square-tailed Bulbul,Hypsipetes ganeesa,Square-tailed Bulbul,Hypsipetes ganeesa,"Sykes, 1832",Square-tailed Black Bulbul,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
834,Passeriformes,Pycnonotidae,Grey-headed Bulbul Microtarsus priocephalus,Grey-headed Bulbul,Microtarsus priocephalus,Gray-headed Bulbul,Microtarsus priocephalus,"(Jerdon, 1839)",,,,Least Concern,Schedule-II,Low,,,X,,,,,,,,,X,
835,Passeriformes,Pycnonotidae,Black-headed Bulbul Microtarsus melanocephalos,Black-headed Bulbul,Microtarsus melanocephalos,Black-headed Bulbul,Microtarsus melanocephalos,"(Gmelin, 1788)",,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
836,Passeriformes,Pycnonotidae,Andaman Bulbul Microtarsus fuscoflavescens,Andaman Bulbul,Microtarsus fuscoflavescens,Andaman Bulbul,Microtarsus fuscoflavescens,"(Hume, 1873)",Andaman Black-headed Bulbul,,,Least Concern,Schedule-II,Moderate,,,X,X,,,,,,,,,
837,Passeriformes,Pycnonotidae,Black-crested Bulbul Rubigula flaviventris,Black-crested Bulbul,Rubigula flaviventris,Black-crested Bulbul,Rubigula flaviventris,"(Tickell, 1833)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
838,Passeriformes,Pycnonotidae,Flame-throated Bulbul Rubigula gularis,Flame-throated Bulbul,Rubigula gularis,Flame-throated Bulbul,Rubigula gularis,"(Gould, 1836)",Ruby-throated Bulbul,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,,X,
839,Passeriformes,Pycnonotidae,Crested Finchbill Spizixos canifrons,Crested Finchbill,Spizixos canifrons,Crested Finchbill,Spizixos canifrons,"Blyth, 1845",Finch-billed Bulbul,,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
840,Passeriformes,Pycnonotidae,White-browed Bulbul Pycnonotus luteolus,White-browed Bulbul,Pycnonotus luteolus,White-browed Bulbul,Pycnonotus luteolus,"(Lesson, 1841)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
841,Passeriformes,Pycnonotidae,Flavescent Bulbul Pycnonotus flavescens,Flavescent Bulbul,Pycnonotus flavescens,Flavescent Bulbul,Pycnonotus flavescens,"Blyth, 1845",Blyth's Bulbul,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
842,Passeriformes,Pycnonotidae,Yellow-throated Bulbul Pycnonotus xantholaemus,Yellow-throated Bulbul,Pycnonotus xantholaemus,Yellow-throated Bulbul,Pycnonotus xantholaemus,"(Jerdon, 1845)",,,,Least Concern,Schedule-II,Moderate,,,X,,,,,,,,X,,
843,Passeriformes,Pycnonotidae,Red-whiskered Bulbul Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus jocosus,"(Linnaeus, 1758)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
844,Passeriformes,Pycnonotidae,Red-vented Bulbul Pycnonotus cafer,Red-vented Bulbul,Pycnonotus cafer,Red-vented Bulbul,Pycnonotus cafer,"(Linnaeus, 1766)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
845,Passeriformes,Pycnonotidae,White-eared Bulbul Pycnonotus leucotis,White-eared Bulbul,Pycnonotus leucotis,White-eared Bulbul,Pycnonotus leucotis,"(Gould, 1836)",,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
846,Passeriformes,Pycnonotidae,Himalayan Bulbul Pycnonotus leucogenys,Himalayan Bulbul,Pycnonotus leucogenys,Himalayan Bulbul,Pycnonotus leucogenys,"(Gray, 1835)",White-cheeked Bulbul (with P. leucotis),,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
847,Passeriformes,Phylloscopidae,Wood Warbler Phylloscopus sibilatrix,Wood Warbler,Phylloscopus sibilatrix,Wood Warbler,Phylloscopus sibilatrix,"(Bechstein, 1793)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
848,Passeriformes,Phylloscopidae,Ashy-throated Warbler Phylloscopus maculipennis,Ashy-throated Warbler,Phylloscopus maculipennis,Ashy-throated Warbler,Phylloscopus maculipennis,"(Blyth, 1867)",Grey-faced Leaf Warbler,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
849,Passeriformes,Phylloscopidae,Buff-barred Warbler Phylloscopus pulcher,Buff-barred Warbler,Phylloscopus pulcher,Buff-barred Warbler,Phylloscopus pulcher,"Blyth, 1845",Orange-barred Leaf Warbler,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
850,Passeriformes,Phylloscopidae,Yellow-browed Warbler Phylloscopus inornatus,Yellow-browed Warbler,Phylloscopus inornatus,Yellow-browed Warbler,Phylloscopus inornatus,"(Blyth, 1842)",Yellow-browed Leaf Warbler,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
851,Passeriformes,Phylloscopidae,Hume's Warbler Phylloscopus humei,Hume's Warbler,Phylloscopus humei,Hume's Warbler,Phylloscopus humei,"(Brooks, 1878)","Hume's Leaf Warbler, Mandelli's Leaf Warbler P. [h.] mandellii",,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
852,Passeriformes,Phylloscopidae,Brooks's Leaf Warbler Phylloscopus subviridis,Brooks's Leaf Warbler,Phylloscopus subviridis,Brooks's Leaf Warbler,Phylloscopus subviridis,"(Brooks, 1872)",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
853,Passeriformes,Phylloscopidae,Chinese Leaf Warbler Phylloscopus yunnanensis,Chinese Leaf Warbler,Phylloscopus yunnanensis,Chinese Leaf Warbler,Phylloscopus yunnanensis,"La Touche, 1922",,,X,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
854,Passeriformes,Phylloscopidae,Pallas's Leaf Warbler Phylloscopus proregulus,Pallas's Leaf Warbler,Phylloscopus proregulus,Pallas's Leaf Warbler,Phylloscopus proregulus,"(Pallas, 1811)",,X,,Least Concern,Recent addition,,,Appendix II,,,,,,,,,,,
855,Passeriformes,Phylloscopidae,Lemon-rumped Warbler Phylloscopus chloronotus,Lemon-rumped Warbler,Phylloscopus chloronotus,Lemon-rumped Warbler,Phylloscopus chloronotus,"(Gray & Gray, 1847)","Pale-rumped Warbler, Pallas's Leaf Warbler (with P. proregulus)",,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
856,Passeriformes,Phylloscopidae,Sichuan Leaf Warbler Phylloscopus forresti,Sichuan Leaf Warbler,Phylloscopus forresti,Sichuan Leaf Warbler,Phylloscopus forresti,"Rothschild, 1921",Forrest's Leaf Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
857,Passeriformes,Phylloscopidae,Tytler's Leaf Warbler Phylloscopus tytleri,Tytler's Leaf Warbler,Phylloscopus tytleri,Tytler's Leaf Warbler,Phylloscopus tytleri,"Brooks, 1871",,,,Least Concern,Schedule-II,Moderate,,Appendix II,,,,,,,,,,,
858,Passeriformes,Phylloscopidae,Sulphur-bellied Warbler Phylloscopus griseolus,Sulphur-bellied Warbler,Phylloscopus griseolus,Sulphur-bellied Warbler,Phylloscopus griseolus,"Blyth, 1847",Olivaceous Leaf warbler,,,Least Concern,Schedule-II,High,,Appendix II,,,,,,,,,,,
859,Passeriformes,Phylloscopidae,Tickell's Leaf Warbler Phylloscopus affinis,Tickell's Leaf Warbler,Phylloscopus affinis,Tickell's Leaf Warbler,Phylloscopus affinis,"(Tickell, 1833)",,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
860,Passeriformes,Phylloscopidae,Dusky Warbler Phylloscopus fuscatus,Dusky Warbler,Phylloscopus fuscatus,Dusky Warbler,Phylloscopus fuscatus,"(Blyth, 1842)",Dusky Leaf Warbler,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
861,Passeriformes,Phylloscopidae,Smoky Warbler Phylloscopus fuligiventer,Smoky Warbler,Phylloscopus fuligiventer,Smoky Warbler,Phylloscopus fuligiventer,"(Hodgson, 1845)",Smoky Leaf Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
862,Passeriformes,Phylloscopidae,Plain Leaf Warbler Phylloscopus neglectus,Plain Leaf Warbler,Phylloscopus neglectus,Plain Leaf Warbler,Phylloscopus neglectus,"Hume, 1870",,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
863,Passeriformes,Phylloscopidae,Buff-throated Warbler Phylloscopus subaffinis,Buff-throated Warbler,Phylloscopus subaffinis,Buff-throated Warbler,Phylloscopus subaffinis,"Ogilvie-Grant, 1900",Buff-throated Leaf Warbler,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
864,Passeriformes,Phylloscopidae,Willow Warbler Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,Willow Warbler,Phylloscopus trochilus,"(Linnaeus, 1758)",,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
865,Passeriformes,Phylloscopidae,Mountain Chiffchaff Phylloscopus sindianus,Mountain Chiffchaff,Phylloscopus sindianus,Mountain Chiffchaff,Phylloscopus sindianus,"Brooks, 1880",Kashmir Chiffchaff,,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
866,Passeriformes,Phylloscopidae,Common Chiffchaff Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,"(Vieillot, 1817)",Siberian Chiffchaff P. [c.] tristis,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
867,Passeriformes,Phylloscopidae,White-spectacled Warbler Phylloscopus intermedius,White-spectacled Warbler,Phylloscopus intermedius,White-spectacled Warbler,Phylloscopus intermedius,"(La Touche, 1898)","Allied Flycatcher Warbler, White-spectacled Leaf Warbler",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
868,Passeriformes,Phylloscopidae,Grey-cheeked Warbler Phylloscopus poliogenys,Grey-cheeked Warbler,Phylloscopus poliogenys,Gray-cheeked Warbler,Phylloscopus poliogenys,"(Blyth, 1847)","Grey-cheeked Flycatcher Warbler, Grey-cheeked Leaf Warbler",,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
869,Passeriformes,Phylloscopidae,Green-crowned Warbler Phylloscopus burkii,Green-crowned Warbler,Phylloscopus burkii,Green-crowned Warbler,Phylloscopus burkii,"(Burton, 1836)","Golden-spectacled Warbler/Black-browed Flycatcher Warbler (with P. whistleri & P. tephrocephalus), Green-crowned Leaf Warbler",,,Least Concern,Schedule-II,Moderate,,,,,,,,,,,,,
870,Passeriformes,Phylloscopidae,Grey-crowned Warbler Phylloscopus tephrocephalus,Grey-crowned Warbler,Phylloscopus tephrocephalus,Gray-crowned Warbler,Phylloscopus tephrocephalus,"(Anderson, 1871)",Grey-crowned Leaf Warbler,,,Least Concern,Schedule-II,,,,,,,,,,,,,,
871,Passeriformes,Phylloscopidae,Whistler's Warbler Phylloscopus whistleri,Whistler's Warbler,Phylloscopus whistleri,Whistler's Warbler,Phylloscopus whistleri,"(Ticehurst, 1925)",Whistler's Leaf Warbler,,,Least Concern,Schedule-II,Low,,,,,,,,,,,,,
872,Passeriformes,Phylloscopidae,Bianchi's Warbler Phylloscopus valentini,Bianchi's Warbler,Phylloscopus valentini,Bianchi's Warbler,Phylloscopus valentini,"(Hartert, 1907)",,X,,Least Concern,Recent addition,,,,,,,,,,,,,,
873,Passeriformes,Phylloscopidae,Green Warbler Phylloscopus nitidus,Green Warbler,Phylloscopus nitidus,Green Warbler,Phylloscopus nitidus,"Blyth, 1843","Bright-green Leaf Warbler, Green Leaf Warbler",,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
874,Passeriformes,Phylloscopidae,Greenish Warbler Phylloscopus trochiloides,Greenish Warbler,Phylloscopus trochiloides,Greenish Warbler,Phylloscopus trochiloides,"(Sundevall, 1837)",Greenish Leaf Warbler,,,Least Concern,Schedule-II,Low,,Appendix II,,,,,,,,,,,
875,Passeriformes,Phylloscopidae,Two-barred Warbler Phylloscopus plumbeitarsus,Two-barred Warbler,Phylloscopus plumbeitarsus,Two-barred Warbler,Phylloscopus plumbeitarsus,"Swinhoe, 1861",Two-barred Leaf Warbler,X,,Least Concern,Schedule-II,,,Appendix II,,,,,,,,,,,
